CODGEO,LIBGEO,REG,DEP,E14TST,E14TS0ND,E14TS1,E14TS6,E14TS10,E14TS20,E14TS50,E14TS100,E14TS200,E14TS500
01288,Péron,82,01,80,57,16,2,4,1,0,0,0,0
01289,Péronnas,82,01,420,227,119,29,20,17,5,2,0,1
01290,Pérouges,82,01,104,71,25,6,1,1,0,0,0,0
01291,Perrex,82,01,31,19,8,1,1,1,1,0,0,0
01292,Le Petit-Abergement,82,01,12,9,2,0,1,0,0,0,0,0
01293,Peyriat,82,01,9,9,0,0,0,0,0,0,0,0
01294,Peyrieu,82,01,36,25,7,1,1,2,0,0,0,0
01295,Peyzieux-sur-Saône,82,01,22,17,3,2,0,0,0,0,0,0
01296,Pirajoux,82,01,11,8,3,0,0,0,0,0,0,0
01297,Pizay,82,01,28,20,6,1,1,0,0,0,0,0
01298,Plagne,82,01,4,3,1,0,0,0,0,0,0,0
01299,Le Plantay,82,01,25,23,2,0,0,0,0,0,0,0
01300,Le Poizat,82,01,15,12,3,0,0,0,0,0,0,0
01301,Polliat,82,01,123,79,31,8,1,4,0,0,0,0
01302,Pollieu,82,01,10,8,1,0,0,1,0,0,0,0
01303,Poncin,82,01,102,73,21,4,1,1,1,0,1,0
01304,Pont-d'Ain,82,01,206,129,53,9,11,2,2,0,0,0
01305,Pont-de-Vaux,82,01,245,144,70,13,13,3,1,1,0,0
01306,Pont-de-Veyle,82,01,92,65,19,3,2,2,1,0,0,0
01307,Port,82,01,68,36,18,7,2,1,3,1,0,0
01308,Pougny,82,01,21,18,3,0,0,0,0,0,0,0
01309,Pouillat,82,01,1,1,0,0,0,0,0,0,0,0
01310,Prémeyzel,82,01,12,8,2,0,0,1,1,0,0,0
01311,Prémillieu,82,01,3,1,2,0,0,0,0,0,0,0
01312,Pressiat,82,01,12,9,3,0,0,0,0,0,0,0
01313,Prévessin-Moëns,82,01,203,155,34,6,7,1,0,0,0,0
01314,Priay,82,01,86,56,25,2,2,0,1,0,0,0
01316,Pugieu,82,01,13,11,2,0,0,0,0,0,0,0
01317,Ramasse,82,01,4,4,0,0,0,0,0,0,0,0
01318,Rancé,82,01,35,22,10,1,2,0,0,0,0,0
01319,Relevant,82,01,29,23,6,0,0,0,0,0,0,0
01320,Replonges,82,01,191,107,47,13,10,12,1,1,0,0
01321,Revonnas,82,01,31,25,6,0,0,0,0,0,0,0
01322,Reyrieux,82,01,305,212,57,16,5,7,5,1,1,1
01323,Reyssouze,82,01,45,39,4,0,0,2,0,0,0,0
01325,Rignieux-le-Franc,82,01,36,26,7,2,0,1,0,0,0,0
01328,Romans,82,01,30,20,6,1,0,2,1,0,0,0
01329,Rossillon,82,01,7,7,0,0,0,0,0,0,0,0
01330,Ruffieu,82,01,18,14,4,0,0,0,0,0,0,0
